Ubicaciones,Tipo ubicación,Hecho Victimizante,Tipo Hecho,Afectación,Tipo Afectación,Temporalidad,Tipo Temporalidad,Entidades,Tipo Entidad
puerto lópez,municipio,,,,,,,,
puerto lleras,municipio,,,,,,,,
puerto rico,municipio,,,,,,,,
restrepo,municipio,,,,,,,,
san juanito,municipio,,,,,,,,
san martín,municipio,,,,,,,,
vista hermosa,municipio,,,,,,,,
pasto,municipio,,,,,,,,
albán,municipio,,,,,,,,
aldana,municipio,,,,,,,,
ancuyá,municipio,,,,,,,,
barbacoas,municipio,,,,,,,,
colón,municipio,,,,,,,,
consaca,municipio,,,,,,,,
contadero,municipio,,,,,,,,
córdoba,municipio,,,,,,,,
cuaspud,municipio,,,,,,,,
cumbal,municipio,,,,,,,,
